 Open, High, Low, Close, Volume
226.4,226.92,224.27,225,47923699
225.02,228.87,225,228.22,44923941
224.01,226.65,222.76,225.12,48566219
224.55,225.59,223.355,224.23,40398301
225,225.7,221.5,224.23,42005602
227.17,228.66,226.405,226.96,38328820
224.625,227.875,224.57,227.48,42137688
222.61,226.065,221.19,222.72,54561121
221.795,223.95,221.14,223.45,28111340
220.99,222.79,219.71,222.01,44944473
220.965,225.35,220.27,222.91,65276738
229.34,229.83,225.37,225.91,64370090
232.61,233.47,229.55,230.1,47070910
233.1,234.325,232.32,233.67,35417246
233.32,234.73,232.55,233.4,36087129
229.74,233.22,229.57,231.41,38802301
229.98,230.82,228.41,230.57,31109500
234.08,235.144,227.76,230.76,52286980
233.885,236.22,232.6,235.86,38846578
234.45,236.85,234.45,236.48,36254473
236.18,236.18,234.01,235,46431473
233.43,233.85,230.52,232.15,32993809
231.6,232.12,229.84,231.78,34082238
233.61,237.49,232.37,233.85,64751367
228.7,231.73,228.6,231.3,39882090
229.3,229.41,227.34,227.55,31759189
227.78,229.5,227.17,229.04,28183539
225.23,229.75,224.83,229.54,33591090
,225.98,223.25,225.77,31855689
224.5,225.69,221.33,221.69,39505352
227.9,228,224.13,226.8,37345102
225.14,226.805,223.32,225.67,34044160
225.89,227.37,223.02,226.78,32880609
229.52,229.65,223.74,226.21,63285047
230.04,233,229.65,233,54793391
228.46,229.52,227.3,227.79,34025969
227.3,228.5,225.41,227.52,36636711
224.93,227.29,224.02,226.37,42308719
228.645,229.35,225.73,227.37,43556070
227.34,229.45,225.81,226.47,54146020
229.97,233.09,227.62,228.2,318679906
224.99,229.82,224.63,228.87,66781320
217.55,222.71,217.54,220.69,59894930
215.75,216.9,214.5,216.79,45519340
216.54,217.22,213.92,216.32,59357434
223.58,224.04,221.91,222.5,36766621
222.5,223.55,219.82,222.77,37498230
221.455,223.09,217.89,222.66,44587070
218.92,221.48,216.73,220.11,51591031
220.82,221.27,216.71,220.91,67179969
223.95,225.24,219.77,220.82,48423008
221.625,225.48,221.52,222.38,36615398
221.66,221.78,217.48,220.85,43840199
228.55,229,221.17,222.77,50087200
230.19,230.4,227.48,229,52990770
230.1,232.92,228.88,229.79,51906301
227.92,229.86,225.68,226.49,38052168
225.995,228.85,224.89,228.03,35934559
226.76,227.28,223.8905,227.18,30602211
225.659,228.22,224.33,226.84,38677246
227.79,228.34,223.9,224.53,43695320
226.52,227.98,225.05,226.4,34765480
225.77,227.17,225.45,226.51,30299029
225.72,225.99,223.04,225.89,40687809
